産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
TL,,,調　査　産　業　計,,令和 7年,12月分,,,,,,,（ 確 報 ）,確  原  表　―,,1頁
,,,,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
,F,T,"19,098 ",130 ,141 ,"19,087 ",386 ,17.8 ,147.0 ,132.6 ,14.4 ,"1,331,423 ","415,243 ",,,"916,180 "
,,N,"103,962 ",461 ,618 ,"103,805 ",-,18.7 ,160.8 ,140.0 ,20.8 ,"1,867,008 ","563,932 ","510,233 ","53,699 ","1,303,076 "
,,P,693 ,13 ,11 ,695 ,-,14.6 ,96.0 ,92.8 ,3.2 ,"307,140 ","196,641 ","188,269 ","8,372 ","110,499 "
,,,,,,,,,,,,,,,,
5,T,T,"323,040 ","1,695 ","2,332 ","322,403 ","20,952 ",18.6 ,157.7 ,141.1 ,16.6 ,"1,103,978 ","431,526 ","394,529 ","36,997 ","672,452 "
,M,T,"251,212 ","1,077 ","1,944 ","250,345 ","6,506 ",18.9 ,163.6 ,145.1 ,18.5 ,"1,219,757 ","473,976 ",,,"745,781 "
,F,T,"71,828 ",618 ,388 ,"72,058 ","14,446 ",17.6 ,136.7 ,126.9 ,9.8 ,"700,397 ","283,553 ",,,"416,844 "
,,N,"302,102 ","1,506 ","2,157 ","301,451 ",-,18.9 ,162.7 ,145.1 ,17.6 ,"1,169,776 ","452,876 ","413,534 ","39,342 ","716,900 "
,,P,"20,938 ",189 ,175 ,"20,952 ",-,13.8 ,84.7 ,82.8 ,1.9 ,"155,960 ","123,905 ","120,697 ","3,208 ","32,055 "
,,,,,,,,,,,,,,,,
7,T,T,"586,193 ","2,515 ","4,224 ","584,484 ","12,460 ",19.1 ,159.7 ,145.0 ,14.7 ,"1,026,535 ","396,762 ","363,121 ","33,641 ","629,773 "
,M,T,"476,317 ","1,869 ","3,321 ","474,865 ","3,971 ",19.3 ,163.3 ,146.7 ,16.6 ,"1,090,798 ","423,301 ",,,"667,497 "
,F,T,"109,876 ",646 ,903 ,"109,619 ","8,489 ",18.1 ,144.5 ,137.8 ,6.7 ,"748,047 ","281,755 ",,,"466,292 "
,,N,"573,466 ","2,304 ","3,745 ","572,024 ",-,19.2 ,161.0 ,146.0 ,15.0 ,"1,044,012 ","401,532 ","367,270 ","34,262 ","642,480 "
,,P,"12,727 ",211 ,479 ,"12,460 ",-,14.8 ,99.2 ,97.7 ,1.5 ,"231,671 ","179,824 ","174,414 ","5,410 ","51,847 "
,,,,,,,,,,,,,,,,
9,T,T,"1,601,357 ","18,547 ","15,426 ","1,604,478 ","118,552 ",20.1 ,160.9 ,149.7 ,11.2 ,"615,953 ","336,181 ","315,291 ","20,890 ","279,772 "
,M,T,"1,280,428 ","14,660 ","13,750 ","1,281,338 ","37,734 ",20.6 ,167.3 ,154.4 ,12.9 ,"666,886 ","363,377 ",,,"303,509 "
,F,T,"320,929 ","3,887 ","1,676 ","323,140 ","80,818 ",18.2 ,135.2 ,130.9 ,4.3 ,"413,368 ","228,010 ",,,"185,358 "
,,N,"1,484,517 ","13,833 ","12,230 ","1,485,926 ",-,20.6 ,167.3 ,155.3 ,12.0 ,"653,082 ","353,588 ","331,285 ","22,303 ","299,494 "
,,P,"116,840 ","4,714 ","3,196 ","118,552 ",-,13.5 ,79.6 ,78.2 ,1.4 ,"147,427 ","116,524 ","113,465 ","3,059 ","30,903 "
,,,,,,,,,,,,,,,,
産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
E,,,製造業,,令和 7年,12月分,,,,,,,（ 確 報 ）,確  原  表　―,,4頁
,,,,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
T,T,T,"7,681,666 ","61,097 ","65,839 ","7,676,924 ","990,192 ",18.7 ,156.2 ,142.3 ,13.9 ,"830,029 ","341,674 ","308,557 ","33,117 ","488,355 "
,M,T,"5,341,837 ","35,126 ","38,925 ","5,338,038 ","263,658 ",19.0 ,163.0 ,146.8 ,16.2 ,"983,111 ","389,495 ",,,"593,616 "
,F,T,"2,339,829 ","25,971 ","26,914 ","2,338,886 ","726,534 ",18.2 ,140.7 ,132.0 ,8.7 ,"480,597 ","232,516 ",,,"248,081 "
,,N,"6,692,786 ","43,185 ","49,033 ","6,686,732 ",-,19.0 ,162.8 ,147.6 ,15.2 ,"927,021 ","370,705 ","333,941 ","36,764 ","556,316 "
