時間軸コード,月,消費支出（名目）,食料（名目）,住居（名目）,光熱・水道（名目）,家具・家事用品（名目）,被服及び履物（名目）,保健医療（名目）,交通・通信（名目）,教育（名目）,教養娯楽（名目）,その他の消費支出（名目）,消費支出（実質）,食料（実質）,住居（実質）,光熱・水道（実質）,家具・家事用品（実質）,被服及び履物（実質）,保健医療（実質）,交通・通信（実質）,教育（実質）,教養娯楽（実質）
2024000606,2024年6月,104.5382,29.3013,9.1095,6.7053,5.2415,3.5787,5.2532,17.4825,2.405,10.8364,14.6242,95.3816,25.1946,8.304,5.7755,4.4047,3.3014,5.1151,17.9677,2.3741,9.6927
2024000707,2024年7月,107.8482,30.3976,9.2574,6.6771,5.7258,3.4453,5.3302,17.6086,2.3788,11.7857,15.2415,97.9547,26.1148,8.4082,5.5922,4.7915,3.2139,5.185,18.0416,2.3483,10.4391
2024000808,2024年8月,109.3357,32.7893,8.7501,7.2815,5.1831,2.7487,5.3781,16.6102,2.3889,12.3377,15.8689,98.6785,27.8821,7.933,6.1241,4.3085,2.5858,5.2215,17.0187,2.3582,10.6912
2024000909,2024年9月,106.88,30.0467,8.6011,7.7376,4.3426,2.7362,5.0312,18.0095,4.5783,10.9956,14.8015,96.8116,25.2493,7.7767,7.0024,3.6009,2.492,4.8752,18.4903,4.5196,9.7048
2024001010,2024年10月,110.2125,30.6587,8.7622,7.5112,4.233,3.4171,5.5631,17.96,5.331,11.4041,15.3721,99.1119,25.464,7.8655,6.7607,3.4897,3.1065,5.3698,18.3828,5.2626,9.9861
2024001111,2024年11月,108.3683,30.7997,9.199,7.0301,4.5618,4.0735,5.6255,17.3858,3.0924,11.4166,15.1847,96.9305,25.3914,8.2502,6.1452,3.7857,3.6764,5.4196,17.7769,3.0527,10.0058
2024001212,2024年12月,125.7779,38.323,9.3775,8.2952,5.5103,4.4426,6.084,18.2674,2.9103,13.3575,19.2102,111.8026,31.2841,8.4103,6.9533,4.6266,4.0204,5.867,18.6212,2.8729,11.6966
2025000101,2025年1月,110.096,29.9061,7.6441,10.2155,4.0735,3.7117,5.2109,17.2706,2.7559,10.9154,18.3919,97.258,23.9824,6.8434,8.5629,3.4059,3.4177,5.0153,17.4274,2.7206,9.6682
2025000202,2025年2月,104.8231,28.8581,8.1703,11.025,3.6359,2.7422,5.1134,17.4479,3.1129,10.7071,14.0106,93.0107,23.2539,7.3015,9.6541,3.0452,2.5204,4.9215,17.5709,3.0669,9.4502
2025000303,2025年3月,120.8926,32.5331,8.1502,10.6773,4.6037,3.9796,5.3451,20.6644,4.8044,12.2656,17.8701,106.89,26.1941,7.2705,9.3251,3.8364,3.6145,5.1296,20.7682,4.7334,10.731
2025000404,2025年4月,115.4496,30.263,8.4415,9.342,4.2846,3.9965,5.2355,18.1417,7.9814,12.152,15.6106,101.7177,24.4057,7.4836,7.9237,3.5177,3.5811,5.0245,18.1599,8.34,10.4849
2025000505,2025年5月,111.7359,31.9863,8.3549,7.9584,4.6758,3.8898,5.2077,18.2283,4.2814,11.8909,15.2629,98.1,25.7125,7.3872,6.5663,3.8295,3.4886,4.993,18.3015,4.4738,10.2419
2025000606,2025年6月,106.6978,30.676,8.3915,7.3202,5.3245,3.5461,5.6203,17.4144,2.2922,11.2885,14.8237,93.7591,24.6196,7.4196,6.0951,4.3537,3.186,5.3886,17.4844,2.3977,9.8161
2025000707,2025年7月,109.9784,31.9263,8.5467,6.9402,5.8524,3.4651,5.5929,18.4656,2.6,11.7079,14.8813,96.4723,25.5206,7.5434,5.8272,4.7774,3.1472,5.3572,18.4288,2.7197,10.1018
2025000808,2025年8月,113.8774,34.4888,8.6554,7.1925,5.0647,2.9401,5.4374,17.8552,2.488,13.4425,16.3129,99.7175,27.3504,7.6192,6.2981,4.1277,2.6875,5.2132,17.7487,2.6025,11.3919
2025000909,2025年9月,110.1907,31.473,8.0781,7.599,4.5042,2.6423,5.6304,18.989,4.337,11.6096,15.3285,96.5738,24.7819,7.111,6.7487,3.698,2.3487,5.3931,18.9134,4.5366,10.0516
2025001010,2025年10月,110.0098,31.9372,8.5164,7.3987,4.2089,3.6939,5.748,17.1711,4.9168,11.9686,14.4498,95.6607,24.9314,7.4837,6.5187,3.4107,3.2748,5.5005,16.9675,5.1431,10.2121
2025001111,2025年11月,111.5675,32.7692,8.1828,7.1381,4.9998,4.4611,5.7903,17.7904,3.1343,12.5545,14.7475,96.5952,25.4815,7.1716,6.0543,4.0748,3.9374,5.5357,17.6142,3.2785,10.7487
2025001212,2025年12月,125.2578,39.0051,9.3211,8.2263,5.2657,4.287,6.304,18.1034,3.1846,13.6758,17.885,108.6364,30.2835,8.1621,6.9892,4.3482,3.8039,6.0326,18.1034,3.3312,11.7087
2026000101,2026年1月,110.9647,31.3159,8.2396,9.6309,4.3946,3.6669,5.3431,16.8085,2.5742,11.5266,17.4644,96.4072,24.1821,7.2088,8.1965,3.644,3.2976,5.1228,16.859,2.6927,10.0058
2026000202,2026年2月,104.211,29.4636,7.9878,10.2591,3.6903,2.7999,5.2097,17.1106,2.7588,11.4464,13.4844,91.1733,22.84,6.9824,9.5079,3.0524,2.5179,4.9949,17.1449,2.8797,9.8847
2026000303,2026年3月,120.4905,32.7736,8.4733,9.8843,5.028,4.0997,6.128,20.2377,4.9389,13.235,15.692,104.8655,25.4651,7.4068,9.0682,4.0812,3.6474,5.8697,19.9386,5.1501,11.3216
2026000404,2026年4月,117.6459,31.2627,8.7816,8.5225,4.978,3.7016,5.3664,19.8307,7.0148,12.6733,15.5143,102.0346,24.3479,7.6361,7.3343,4.0113,3.2671,5.1551,19.5762,7.8029,10.795
