時間軸コード,月,消費支出（名目）,食料（名目）,住居（名目）,光熱・水道（名目）,家具・家事用品（名目）,被服及び履物（名目）,保健医療（名目）,交通・通信（名目）,教育（名目）,教養娯楽（名目）,その他の消費支出（名目）,消費支出（実質）,食料（実質）,住居（実質）,光熱・水道（実質）,家具・家事用品（実質）,被服及び履物（実質）,保健医療（実質）,交通・通信（実質）,教育（実質）,教養娯楽（実質）,その他の消費支出（実質）
2025000505,2025年5月,99.6049,28.4861,7.7464,7.1129,4.1735,3.3963,4.6826,16.0519,3.5018,10.6718,13.7815,99.6049,28.7738,7.7542,6.8459,4.161,3.3828,4.6686,16.1651,3.5265,10.6081,13.7815
2025000606,2025年6月,94.8416,27.3805,7.6809,6.5383,4.7096,3.1331,5.0514,15.0541,1.8205,10.039,13.4335,94.9366,27.6013,7.6886,6.354,4.6815,3.1268,5.0312,15.0843,1.8334,10.0895,13.4469
2025000707,2025年7月,97.5767,28.4835,7.7068,6.2121,5.1617,3.0738,5.048,15.9997,2.0756,10.3652,13.4502,97.4792,28.5979,7.7068,6.0903,5.1207,3.0924,5.0279,15.9519,2.0903,10.3549,13.4367
2025000808,2025年8月,100.8441,30.715,7.8656,6.4376,4.4393,2.6084,4.9351,15.2329,1.9738,11.9306,14.7064,100.5425,30.5318,7.8343,6.6026,4.3997,2.6455,4.9203,15.112,1.9897,11.7543,14.6624
2025000909,2025年9月,97.777,28.0418,7.221,6.7923,3.9606,2.3033,5.0391,16.5999,3.5481,10.3545,13.9167,97.6793,27.8192,7.1923,7.0679,3.9527,2.276,5.0141,16.5009,3.5767,10.3752,13.9028
2025001010,2025年10月,97.7318,28.4694,7.8438,6.6194,3.6873,3.2416,5.1654,14.7723,4.1087,10.7284,13.0955,96.9562,28.0487,7.797,6.8171,3.6329,3.1937,5.1346,14.5684,4.1418,10.5803,12.9915
2025001111,2025年11月,100.0151,29.2307,7.5717,6.3991,4.4149,3.9636,5.1998,16.0367,2.641,11.2005,13.3569,98.8292,28.6857,7.5041,6.3357,4.3755,3.8973,5.1637,15.8466,2.6623,11.1006,13.1985
2025001212,2025年12月,111.39,34.8526,8.3503,7.3665,4.6433,3.8055,5.6019,15.414,2.8602,12.1791,16.3163,110.2872,34.1692,8.2758,7.3008,4.662,3.7603,5.5685,15.3526,2.8833,12.0944,16.1547
2026000101,2026年1月,98.1831,27.8652,7.5324,8.6243,3.8632,3.2245,4.7707,14.2169,2.0975,10.2456,15.7435,97.3074,27.1591,7.4505,8.5729,3.8944,3.2278,4.7422,14.2027,2.1144,10.3075,15.6031
2026000202,2026年2月,92.8652,26.2298,7.6639,9.1967,3.2082,2.4566,4.677,14.7201,2.2582,10.2475,12.2068,92.6798,25.6401,7.5805,9.9964,3.2244,2.4591,4.6491,14.6907,2.2718,10.2372,12.1825
